"Date","Hostname","Uptime","Event","IN","OUT","OUT","OUT","OUT","OUT","OUT","OUT","OUT","OUT","OUT","OUT","OUT"
"Sep 24 00:30:01","Server","122176.320138","122176.320138","","eth0","192.168.1.28","192.168.1.255","258","0x00","0x00","64","15214","DF","UDP","138","138"
"Sep 24 00:30:01","Server","122176.320249","122176.320249","","eth0","192.168.1.28","192.168.1.255","235","0x00","0x00","64","15215","DF","UDP","138","138"
"Sep 24 00:30:01","Server","122176.320365","122176.320365","","docker0","172.17.42.1","172.17.255.255","258","0x00","0x00","64","64514","DF","UDP","138","138"
"Sep 24 00:30:01","Server","122176.320430","122176.320430","","docker0","172.17.42.1","172.17.255.255","235","0x00","0x00","64","64515","DF","UDP","138","138"
"Sep 24 00:33:16","Server","122370.944805","122370.944805","","eth0","192.168.1.28","192.168.1.68","68","0x00","0x00","64","23003","DF","UDP","17886","53"
"Sep 24 00:33:16","Server","122370.944873","122370.944873","","eth0","192.168.1.28","192.168.1.68","68","0x00","0x00","64","23004","DF","UDP","27334","53"
"Sep 24 00:33:16","Server","122370.945053","122370.945053","","eth0","192.168.1.28","192.168.1.68","64","0x00","0x00","64","23005","DF","UDP","20409","53"
"Sep 24 00:33:16","Server","122370.945088","122370.945088","","eth0","192.168.1.28","192.168.1.68","64","0x00","0x00","64","23006","DF","UDP","46003","53"
"Sep 24 00:33:16","Server","122370.945572","122370.945572","","eth0","192.168.1.28","192.168.1.68","65","0x00","0x00","64","23007","DF","UDP","46312","53"
"Sep 24 00:33:16","Server","122370.945606","122370.945606","","eth0","192.168.1.28","192.168.1.68","65","0x00","0x00","64","23008","DF","UDP","30444","53"
"Sep 24 00:33:16","Server","122370.946138","122370.946138","","eth0","192.168.1.28","192.168.1.68","60","0x00","0x00","64","23009","DF","UDP","24331","53"
"Sep 24 00:33:16","Server","122370.946204","122370.946204","","eth0","192.168.1.28","192.168.1.68","60","0x00","0x00","64","23010","DF","UDP","63485","53"
"Sep 24 00:33:16","Server","122370.946453","122370.946453","","eth0","192.168.1.28","192.168.1.68","65","0x00","0x00","64","23011","DF","UDP","16689","53"
"Sep 24 00:33:16","Server","122370.946486","122370.946486","","eth0","192.168.1.28","192.168.1.68","65","0x00","0x00","64","23012","DF","UDP","45618","53"
"Sep 24 00:33:16","Server","122370.946688","122370.946688","","eth0","192.168.1.28","192.168.1.68","63","0x00","0x00","64","23013","DF","UDP","47695","53"
"Sep 24 00:33:16","Server","122370.946716","122370.946716","","eth0","192.168.1.28","192.168.1.68","63","0x00","0x00","64","23014","DF","UDP","60108","53"
"Sep 24 00:41:31","Server","122866.009832","122866.009832","","docker0","172.17.42.1","224.0.0.251","73","0x00","0x00","255","13111","DF","UDP","5353","5353"
"Sep 24 00:41:31","Server","122866.010183","122866.010183","","eth0","192.168.1.28","224.0.0.251","73","0x00","0x00","255","5252","DF","UDP","5353","5353"
"Sep 24 00:42:05","Server","122900.100547","122900.100547","","eth0","192.168.1.28","192.168.1.255","258","0x00","0x00","64","55480","DF","UDP","138","138"
"Sep 24 00:42:05","Server","122900.100654","122900.100654","","eth0","192.168.1.28","192.168.1.255","235","0x00","0x00","64","55481","DF","UDP","138","138"
"Sep 24 00:42:05","Server","122900.100781","122900.100781","","docker0","172.17.42.1","172.17.255.255","258","0x00","0x00","64","38333","DF","UDP","138","138"
"Sep 24 00:42:05","Server","122900.100831","122900.100831","","docker0","172.17.42.1","172.17.255.255","235","0x00","0x00","64","38334","DF","UDP","138","138"
"Sep 24 00:54:08","Server","123622.112875","123622.112875","","eth0","192.168.1.28","192.168.1.255","258","0x00","0x00","64","22024","DF","UDP","138","138"
"Sep 24 00:54:08","Server","123622.113018","123622.113018","","eth0","192.168.1.28","192.168.1.255","235","0x00","0x00","64","22025","DF","UDP","138","138"
"Sep 24 00:54:08","Server","123622.113154","123622.113154","","docker0","172.17.42.1","172.17.255.255","258","0x00","0x00","64","53383","DF","UDP","138","138"
"Sep 24 00:54:08","Server","123622.113205","123622.113205","","docker0","172.17.42.1","172.17.255.255","235","0x00","0x00","64","53384","DF","UDP","138","138"
"Sep 24 01:03:16","Server","124170.059319","124170.059319","","eth0","192.168.1.28","192.168.1.68","68","0x00","0x00","64","45963","DF","UDP","26710","53"
"Sep 24 01:03:16","Server","124170.059349","124170.059349","","eth0","192.168.1.28","192.168.1.68","68","0x00","0x00","64","45964","DF","UDP","48517","53"
"Sep 24 01:03:16","Server","124170.059591","124170.059591","","eth0","192.168.1.28","192.168.1.68","65","0x00","0x00","64","45965","DF","UDP","38096","53"
"Sep 24 01:03:16","Server","124170.059617","124170.059617","","eth0","192.168.1.28","192.168.1.68","65","0x00","0x00","64","45966","DF","UDP","34800","53"
"Sep 24 01:03:16","Server","124170.060382","124170.060382","","eth0","192.168.1.28","192.168.1.68","60","0x00","0x00","64","45967","DF","UDP","40458","53"
"Sep 24 01:03:16","Server","124170.060407","124170.060407","","eth0","192.168.1.28","192.168.1.68","60","0x00","0x00","64","45968","DF","UDP","26462","53"
"Sep 24 01:03:16","Server","124170.060809","124170.060809","","eth0","192.168.1.28","192.168.1.68","64","0x00","0x00","64","45969","DF","UDP","26254","53"
"Sep 24 01:03:16","Server","124170.060835","124170.060835","","eth0","192.168.1.28","192.168.1.68","64","0x00","0x00","64","45970","DF","UDP","21888","53"
